variant,dim,description,silhouette_score,davies_bouldin_score,calinski_harabasz_score,ari_score,nmi_score,kappa_score
image_only,2048,ResNet50 image embeddings only,0.04426885610887332,3.607961920070462,1098.5630429248595,-3.6616089429209755e-05,0.0011983321526734829,0.0
text_designation_only,2048,Qwen3 designation embeddings only,0.044661208554185504,3.7452669312259816,1005.5321236338968,0.34102668466820546,0.5500800165234684,0.5776736759550118
text_description_only,2048,Qwen3 description embeddings only,0.3948256607525092,3.2389768054617956,2770.792636458787,0.14688430506628564,0.46498634833950997,0.4217835474466254
text_concat,4096,Concatenated designation + description,0.04533406630269401,3.830555997048207,1489.5343845702355,0.2931641253713776,0.5281688622829808,0.5136898333323245
multimodal,6144,Full multimodal (image + text concat),0.022586989705354808,4.753906659796837,711.4476137447242,0.08639518937382991,0.15683647330811995,0.1519647177194322
